Id Name HP ATK DEF SPD SPE Type1 Type2 Moves
18 Pidgeot 83 80 75 91 70 NORMAL FLYING Gust,Quick_Attack,Quick_Attack,Whirlwind,Wing_Attack,Agility,Mirror_Move,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mimic,Double_Team,Reflect,Bide,Swift,Sky_Attack,Rest,Substitute,Fly,
19 Rattata 30 56 35 72 25 NORMAL NONE Tackle,Tail_Whip,Quick_Attack,Hyper_Fang,Focus_Energy,Super_Fang,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Blizzard,Rage,Thunder,Thunderbolt,Thunder,Dig,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,
20 Raticate 55 81 60 97 50 NORMAL NONE Tackle,Tail_Whip,Quick_Attack,Quick_Attack,Hyper_Fang,Focus_Energy,Super_Fang,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Dig,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,
21 Spearow 40 60 30 70 31 NORMAL FLYING Peck,Growl,Leer,Fury_Attack,Mirror_Move,Drill_Peck,Peck,Agility,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Rage,Mimic,Double_Team,Bide,Swift,Sky_Attack,Rest,Substitute,Fly,
22 Fearow 65 90 65 100 61 NORMAL FLYING Peck,Growl,Leer,Leer,Fury_Attack,Mirror_Move,Drill_Peck,Peck,Agility,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mimic,Double_Team,Bide,Swift,Sky_Attack,Rest,Substitute,Fly,Pay_Day,
23 Ekans 35 60 44 55 40 POISON NONE Wrap,Leer,Poison_Sting,Bite,Glare,Screech,Acid,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mega_Drain,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
24 Arbok 60 85 69 80 65 POISON NONE Wrap,Leer,Poison_Sting,Poison_Sting,Bite,Glare,Screech,Acid,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
25 Pikachu 35 55 30 90 50 ELECTRIC NONE Thunder,Growl,Tail_Whip,Thunder,Thunder_Wave,Quick_Attack,Double_Team,Slam,Thunder,Thunderbolt,Agility,Thunder,Light_Screen,Swift,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Pay_Day,Submission,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Substitute,Flash,Surf,Fly,Surf,
26 Raichu 60 90 55 100 90 ELECTRIC NONE Thunder,Growl,Thunder,Thunder_Wave,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Pay_Day,Submission,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Substitute,Flash,Agility,Fly,Light_Screen,Quick_Attack,Slam,Surf,Tail_Whip,
27 Sandshrew 50 75 85 40 30 GROUND NONE Scratch,Slash,Poison_Sting,Swift,Fury_Swipes,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Rock_Slide,Substitute,Cut,Strength,
28 Sandslash 75 100 110 65 55 GROUND NONE Scratch,Slash,Poison_Sting,Swift,Fury_Swipes,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Rock_Slide,Substitute,Cut,Strength,
29 Nidoranâ™€ 55 47 52 41 40 POISON NONE Growl,Tackle,Scratch,Double_Kick,Poison_Sting,Tail_Whip,Bite,Fury_Swipes,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Blizzard,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,
30 Nidorina 70 62 67 56 55 POISON NONE Growl,Tackle,Scratch,Scratch,Double_Kick,Poison_Sting,Tail_Whip,Bite,Fury_Swipes,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,
31 Nidoqueen 90 82 87 76 75 POISON GROUND Tackle,Scratch,Tail_Whip,Body_Slam,Slam,Scratch,Double_Kick,Body_Slam,Slam,Poison_Sting,Mega_Punch,Mega_Kick,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Surf,Strength,Bite,Double_Kick,Fury_Swipes,Growl,Poison_Sting,
32 Nidoranâ™‚ 46 57 40 50 40 POISON NONE Leer,Tackle,Horn_Attack,Double_Kick,Poison_Sting,Focus_Energy,Fury_Attack,Horn_Drill,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Blizzard,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,
33 Nidorino 61 72 57 65 55 POISON NONE Leer,Tackle,Horn_Attack,Horn_Attack,Double_Kick,Poison_Sting,Focus_Energy,Fury_Attack,Horn_Drill,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,
34 Nidoking 81 92 77 85 75 POISON GROUND Tackle,Horn_Attack,Poison_Sting,Thrash,Horn_Attack,Double_Kick,Thrash,Poison_Sting,Mega_Punch,Mega_Kick,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Surf,Strength,Double_Kick,Focus_Energy,Fury_Attack,Horn_Drill,Leer,
35 Clefairy 70 45 48 35 60 NORMAL NONE Pound,Growl,Sing,Minimize,Metronome,Defense_Curl,Light_Screen,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Submission,Counter,Seismic_Toss,Rage,SolarBeam,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Fire_Blast,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Strength,Flash,
36 Clefable 95 70 73 60 85 NORMAL NONE Sing,Minimize,Metronome,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,SolarBeam,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Fire_Blast,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Strength,Flash,Defense_Curl,Growl,Light_Screen,Pound,
37 Vulpix 38 41 40 65 65 FIRE NONE Ember,Tail_Whip,Quick_Attack,Roar,Confuse_Ray,Flamethrower,Fire_Spin,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Dig,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,
38 Ninetales 73 76 75 100 100 FIRE NONE Ember,Tail_Whip,Quick_Attack,Roar,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Dig,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Confuse_Ray,Fire_Spin,Flamethrower,
39 Jigglypuff 115 45 20 20 25 NORMAL NONE Sing,Pound,Disable,Defense_Curl,Rest,Body_Slam,Slam,Double-Edge,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Submission,Counter,Seismic_Toss,Rage,SolarBeam,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Strength,Flash,
40 Wigglytuff 140 70 45 45 50 NORMAL NONE Sing,Disable,Defense_Curl,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,SolarBeam,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Strength,Flash,Pound,
41 Zubat 40 45 35 55 40 POISON FLYING Leech_Life,Supersonic,Bite,Confuse_Ray,Wing_Attack,Haze,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Rage,Mega_Drain,Mimic,Double_Team,Bide,Swift,Rest,Substitute,
42 Golbat 75 80 70 90 75 POISON FLYING Leech_Life,Screech,Bite,Supersonic,Bite,Confuse_Ray,Wing_Attack,Haze,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,Mimic,Double_Team,Bide,Swift,Rest,Substitute,
43 Oddish 45 50 55 30 75 GRASS POISON Absorb,Spore,Stun_Spore,Sleep_Powder,Acid,Petal_Dance,SolarBeam,Swords_Dance,Toxic,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,
44 Gloom 60 65 70 40 85 GRASS POISON Absorb,Spore,Stun_Spore,Spore,Stun_Spore,Sleep_Powder,Acid,Petal_Dance,SolarBeam,Swords_Dance,Toxic,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,
45 Vileplume 75 80 85 50 100 GRASS POISON Spore,Stun_Spore,Sleep_Powder,Acid,Petal_Dance,Spore,Stun_Spore,Sleep_Powder,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,Absorb,
46 Paras 35 70 55 25 55 GRASS BUG Scratch,Spore,Stun_Spore,Leech_Life,Spore,Slash,Growth,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Dig,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Cut,
47 Parasect 60 95 80 30 80 GRASS BUG Scratch,Spore,Stun_Spore,Leech_Life,Spore,Stun_Spore,Leech_Life,Spore,Slash,Growth,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Dig,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Cut,
48 Venonat 60 55 50 45 40 BUG POISON Tackle,Disable,Supersonic,Confusion,Leech_Life,Spore,Stun_Spore,Psybeam,Sleep_Powder,Psychic,Toxic,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Psychic,Mimic,Double_Team,Reflect,Bide,Rest,Psywave,Substitute,Flash,
49 Venomoth 70 65 60 90 90 BUG POISON Tackle,Disable,Supersonic,Confusion,Leech_Life,Spore,Stun_Spore,Psybeam,Sleep_Powder,Psychic,Leech_Life,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Rest,Psywave,Substitute,Flash,
50 Diglett 10 55 25 95 45 GROUND NONE Scratch,Growl,Dig,Slash,Earthquake,Dig,Dig,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Rest,Rock_Slide,Substitute,Cut,Dig,Dig,
51 Dugtrio 35 80 50 120 70 GROUND NONE Scratch,Growl,Dig,Growl,Dig,Slash,Earthquake,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Rest,Rock_Slide,Substitute,Cut,
52 Meowth 40 45 35 90 40 NORMAL NONE Scratch,Growl,Bite,Pay_Day,Screech,Fury_Swipes,Slash,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Pay_Day,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,
53 Persian 65 70 60 115 65 NORMAL NONE Scratch,Growl,Bite,Screech,Bite,Pay_Day,Screech,Fury_Swipes,Slash,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Hyper_Beam,Pay_Day,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,
54 Psyduck 50 52 48 55 50 WATER NONE Scratch,Tail_Whip,Disable,Confusion,Fury_Swipes,Hydro_Pump,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Dig,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,Surf,Strength,Amnesia,
55 Golduck 80 82 78 85 80 WATER NONE Scratch,Tail_Whip,Disable,Tail_Whip,Disable,Confusion,Fury_Swipes,Hydro_Pump,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Dig,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,Surf,Strength,Amnesia,
56 Mankey 40 80 35 70 35 FIGHTING NONE Scratch,Leer,Low_Kick,Karate_Chop,Fury_Swipes,Focus_Energy,Seismic_Toss,Thrash,Screech,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Dig,Mimic,Double_Team,Bide,Metronome,Swift,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
57 Primeape 65 105 60 95 60 FIGHTING NONE Scratch,Leer,Low_Kick,Karate_Chop,Low_Kick,Karate_Chop,Fury_Swipes,Focus_Energy,Rage,Seismic_Toss,Screech,Thrash,Fury_Swipes,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Dig,Mimic,Double_Team,Bide,Metronome,Swift,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
58 Growlithe 55 70 45 60 50 FIRE NONE Bite,Roar,Ember,Leer,Take_Down,Agility,Flamethrower,Growl,Growl,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Dragon_Rage,Rage,Dig,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Growl,Growl,
59 Arcanine 90 110 80 95 80 FIRE NONE Roar,Ember,Leer,Take_Down,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Dragon_Rage,Rage,Dig,Teleport,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Agility,Bite,Flamethrower,
60 Poliwag 40 50 40 90 40 WATER NONE Bubble,Hypnosis,Water_Gun,Body_Slam,Slam,Amnesia,Hydro_Pump,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Psychic,Mimic,Double_Team,Bide,Skull_Bash,Rest,Psywave,Substitute,Surf,
61 Poliwhirl 65 65 65 90 50 WATER NONE Bubble,Hypnosis,Water_Gun,Hypnosis,Water_Gun,Body_Slam,Slam,Amnesia,Hydro_Pump,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Psychic,Mimic,Double_Team,Bide,Metronome,Skull_Bash,Rest,Psywave,Substitute,Surf,Strength,
62 Poliwrath 90 85 95 70 70 WATER FIGHTING Hypnosis,Water_Gun,Body_Slam,Slam,Hypnosis,Water_Gun,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Psychic,Mimic,Double_Team,Bide,Metronome,Skull_Bash,Rest,Psywave,Substitute,Surf,Strength,Amnesia,Bubble,Hydro_Pump,
63 Abra 25 20 15 90 105 PSYCHIC NONE Teleport,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Flash,
64 Kadabra 40 35 30 105 120 PSYCHIC NONE Teleport,Kinesis,Confusion,Disable,Psybeam,Recover,Psychic,Reflect,Confusion,Disable,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Dig,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Flash,
65 Alakazam 55 50 45 120 135 PSYCHIC NONE Teleport,Kinesis,Confusion,Disable,Psybeam,Recover,Psychic,Reflect,Confusion,Disable,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Dig,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Flash,
66 Machop 70 80 50 35 35 FIGHTING NONE Karate_Chop,Low_Kick,Leer,Focus_Energy,Seismic_Toss,Submission,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Metronome,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
67 Machoke 80 100 70 45 50 FIGHTING NONE Karate_Chop,Low_Kick,Leer,Low_Kick,Leer,Focus_Energy,Seismic_Toss,Submission,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Metronome,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
68 Machamp 90 130 80 55 65 FIGHTING NONE Karate_Chop,Low_Kick,Leer,Low_Kick,Leer,Focus_Energy,Seismic_Toss,Submission,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Metronome,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
69 Bellsprout 50 75 35 40 70 GRASS POISON Vine_Whip,Growth,Wrap,Sleep_Powder,Spore,Stun_Spore,Acid,Razor_Leaf,Slam,Swords_Dance,Toxic,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,
70 Weepinbell 65 90 50 55 85 GRASS POISON Vine_Whip,Growth,Wrap,Wrap,Sleep_Powder,Spore,Stun_Spore,Acid,Razor_Leaf,Slam,Swords_Dance,Toxic,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,
71 Victreebel 80 105 65 70 100 GRASS POISON Sleep_Powder,Spore,Stun_Spore,Acid,Razor_Leaf,Wrap,Sleep_Powder,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,Growth,Slam,Vine_Whip,
72 Tentacool 40 40 35 70 100 WATER POISON Acid,Supersonic,Wrap,Poison_Sting,Water_Gun,Constrict,Barrier,Screech,Hydro_Pump,Swords_Dance,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Mega_Drain,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Cut,Surf,
